City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,ayan,56.45,138.1667,-11.35,79,11,4.28,RU,1681059665
276,lake city,30.1897,-82.6393,13.66,93,100,4.63,US,1681059579
277,san juan,-31.5375,-68.5364,30.6,32,0,3.77,AR,1681059814
278,praia da vitoria,38.7333,-27.0667,19.31,77,40,2.93,PT,1681059587
279,salatiga,-7.3319,110.4928,23.33,93,100,1.61,ID,1681059801
280,kuito,-12.3833,16.9333,16.9,88,79,1.51,AO,1681059739
281,mana,5.6592,-53.7767,28.87,60,49,3.62,GF,1681059815
282,biltine,14.5333,20.9167,37.03,7,8,3.09,TD,1681059815
283,wau,7.7029,27.9953,34.13,25,99,1.11,SS,1681059815
284,bloemfontein,-29.1211,26.214,18.71,72,40,2.57,ZA,1681059527
285,port hardy,50.6996,-127.4199,7.1,93,100,10.29,CA,1681059815
286,klaksvik,62.2266,-6.589,7.51,92,94,13.9,FO,1681059586
287,pisco,-13.7,-76.2167,26.03,73,0,4.12,PE,1681059816
288,upernavik,72.7868,-56.1549,-16.74,90,93,4.84,GL,1681059572
289,inta,66.0317,60.1659,-6.88,82,100,8.09,RU,1681059816
290,lincoln,40.8,-96.667,21.3,24,0,7.2,US,1681059786
291,coffs harbour,-30.3,153.1333,11.18,93,0,1.54,AU,1681059816
292,kalmunai,7.4167,81.8167,27.37,78,68,2.32,LK,1681059592
293,fuerte olimpo,-21.0415,-57.8738,32.33,41,10,0.83,PY,1681059817
294,baykit,61.67,96.37,-22.97,100,52,1.67,RU,1681059585
295,warragul,-38.1667,145.9333,10.24,86,99,1.34,AU,1681059817
296,matagami,49.7502,-77.6328,7.06,26,0,7.2,CA,1681059817
297,flin flon,54.7682,-101.865,4.91,65,40,3.09,CA,1681059817
298,alghero,40.5589,8.3181,16.05,67,0,4.12,IT,1681059817
299,bethel,41.3712,-73.414,12.89,28,2,0.89,US,1681059582
300,dawlatabad,36.4141,64.9053,23.84,29,25,2.65,AF,1681059817
301,masallatah,32.6167,14.0,15.64,53,0,4.47,LY,1681059818
302,bourail,-21.5667,165.4833,22.63,83,0,1.17,NC,1681059818
303,marsh harbour,26.5412,-77.0636,24.98,75,51,4.47,BS,1681059643
304,seoul,37.5683,126.9778,7.69,78,0,3.09,KR,1681059606
305,broome,42.2506,-75.833,11.46,30,0,2.68,US,1681059818
306,maneadero,31.7167,-116.5667,18.86,63,9,2.55,MX,1681059818
307,nabire,-3.3667,135.4833,24.55,90,98,1.5,ID,1681059583
308,longyearbyen,78.2186,15.6401,1.91,80,75,5.66,SJ,1681059583
309,turukhansk,65.8167,87.9833,-24.79,100,93,2.44,RU,1681059576
310,sao gabriel da cachoeira,-0.1303,-67.0892,23.89,94,100,1.54,BR,1681059644
311,tondano,1.3038,124.9112,20.05,92,60,1.47,ID,1681059818
312,chickasha,35.0526,-97.9364,20.66,56,40,3.6,US,1681059819
313,mildura,-34.2,142.15,13.93,72,82,4.93,AU,1681059819
314,rundu,-17.9333,19.7667,26.05,31,98,2.24,NA,1681059402
315,kerchevskiy,59.946,56.2884,0.71,84,35,3.26,RU,1681059819
316,pravokubanskiy,43.9172,41.8841,7.19,90,99,1.06,RU,1681059819
317,sao joao da barra,-21.6403,-41.0511,24.05,96,100,3.79,BR,1681059629
318,deputatskiy,69.3,139.9,-16.45,97,100,1.42,RU,1681059594
319,manoel urbano,-8.8389,-69.2597,28.05,65,86,1.44,BR,1681059819
320,bonavista,48.6499,-53.1147,-3.86,74,94,6.13,CA,1681059819
321,san quintin,30.4833,-115.95,15.98,79,27,5.07,MX,1681059649
322,caravelas,-17.7125,-39.2481,27.27,81,60,2.96,BR,1681059647
323,cap malheureux,-19.9842,57.6142,25.82,78,100,5.66,MU,1681059820
324,edd,13.9297,41.6925,35.57,36,4,8.59,ER,1681059630
325,moa,20.6569,-74.9403,27.79,61,9,3.18,CU,1681059820
326,saldanha,-33.0117,17.9442,18.03,72,0,4.58,ZA,1681059581
327,kavieng,-2.5744,150.7967,25.88,86,100,2.57,PG,1681059578
328,mtimbira,-8.7833,36.35,22.37,96,77,1.4,TZ,1681059820
329,aykino,62.2248,49.9922,0.85,95,100,3.44,RU,1681059820
330,markova,48.6758,24.4138,3.96,96,98,0.39,UA,1681059820
331,clyde river,70.4692,-68.5914,-18.87,65,0,1.03,CA,1681059600
332,cherskiy,68.75,161.3,-26.38,92,6,1.8,RU,1681059577
333,alexandria,31.2156,29.9553,26.3,68,40,5.14,EG,1681059715
334,goba,7.0167,39.9833,10.74,78,84,1.13,ET,1681059670
335,pekalongan,-6.8886,109.6753,25.44,82,98,2.41,ID,1681059821
336,oranjemund,-28.55,16.4333,14.66,77,0,6.71,NA,1681059580
337,shelburne,44.0787,-80.2041,9.39,47,6,1.25,CA,1681059646
338,saint anthony,45.0205,-93.218,17.52,36,75,7.2,US,1681059653
339,vestmannaeyjar,63.4427,-20.2734,8.55,87,100,16.46,IS,1681059822
340,chuy,-33.6971,-53.4616,24.86,48,1,3.21,UY,1681059587
341,pitea,65.3172,21.4794,8.05,100,100,1.18,SE,1681059749
342,sikasso,10.9167,-7.0,32.2,38,100,3.7,ML,1681059822
343,katherine,-14.4667,132.2667,24.18,94,75,2.57,AU,1681059822
344,proletariy,58.4342,31.7046,6.74,81,35,2.64,RU,1681059822
345,constitucion,-35.3333,-72.4167,19.68,46,41,2.98,CL,1681059600
346,altar,30.7,-111.8167,25.07,12,0,0.52,MX,1681059822
347,vila franca do campo,37.7167,-25.4333,18.23,89,99,4.4,PT,1681059629
348,manta,-0.95,-80.7333,28.88,74,40,2.06,EC,1681059823
349,ashford,51.1459,0.8728,13.79,72,80,2.91,GB,1681059823
350,kangaatsiaq,68.3065,-53.4641,-7.06,79,100,5.0,GL,1681059823
351,erzin,36.9559,36.2,17.29,62,100,3.76,TR,1681059823
352,tiznit,29.5833,-9.5,26.73,14,100,6.27,MA,1681059823
353,birjand,32.8663,59.2211,18.26,15,75,0.0,IR,1681059823
354,akdepe,42.0551,59.3788,16.05,63,67,3.22,TM,1681059823
355,bambanglipuro,-7.95,110.2833,25.08,87,100,2.58,ID,1681059823
356,aksarka,66.5606,67.7975,-11.17,94,100,5.26,RU,1681059681
357,yining,29.0361,114.5636,14.93,79,0,0.85,CN,1681059824
358,aktanysh,55.7216,54.0829,7.41,43,7,1.42,RU,1681059824
359,saint-joseph,-21.3667,55.6167,26.21,81,100,2.14,RE,1681059824
360,sumenep,-7.0167,113.8667,25.79,84,100,1.79,ID,1681059824
361,shenjiamen,29.9576,122.298,12.61,78,44,7.92,CN,1681059824
362,barranca,-10.75,-77.7667,26.28,72,89,5.5,PE,1681059824
363,shache,38.4167,77.2406,17.92,16,2,2.7,CN,1681059824
